"Longitude";"ACCESS1-0";"CanESM2";"CCSM4";"CMCC-CESM";"CMCC-CM";"CMCC-CMS";"CNRM-CM5";"CSIRO-Mk3-6-0";"GISS-E2-H-CC";"GISS-E2-H";"GISS-E2-R-CC";"GISS-E2-R";"HadGEM2-CC";"HadGEM2-ES";"IPSL-CM5A-LR";"IPSL-CM5A-MR";"IPSL-CM5B-LR";"MIROC5";"MIROC-ESM-CHEM";"MIROC-ESM";"MPI-ESM-LR";"MPI-ESM-MR";"MRI-CGCM3";"MRI-ESM1";"NorESM1-ME";"NorESM1-M"
0,5;-54,9132990245965;-52,7463864279589;-53,4635891825887;-52,5494842020787;-53,0623541811701;-53,0896235004061;-58,5542587020962;-54,8508880006304;-58,1318720663039;-61,3828523255763;-57,8576077475412;-57,8635759644899;-63,5239577670969;-60,7065210669372;-53,728805032361;-55,2376094064461;-65,4908408057388;-68,5718631482638;-54,8404076938785;-55,2787714644187;-57,2447303639254;-56,2701070991733;-52,8102963607537;-52,9432028522967;-52,7033700331398;-54,4252544589739
1,5;-54,9680440755868;-52,7891112189722;-53,440269618826;-52,5655824117274;-53,1638607413761;-53,2352190978304;-58,7247399150338;-55,2204206716615;-58,1318720663039;-61,3828523255763;-57,8576077475412;-57,8635759644899;-63,6076255167392;-60,8216075090925;-53,8049794372067;-55,4215412353546;-65,9826907576904;-68,3649584842339;-54,9040662772282;-55,3015566943489;-57,3045289717099;-56,2903712846895;-52,9223835367065;-53,1177187392474;-52,615283390227;-54,2762100276374
2,5;-55,0369392227352;-52,7891112189722;-53,4297726499948;-52,5655824117274;-53,1638607413761;-53,2352190978304;-58,9612022270327;-55,2204206716615;-58,1318720663039;-61,3828523255763;-57,8576077475412;-57,8635759644899;-63,5157656168704;-60,896914164741;-53,8049794372067;-55,4215412353546;-65,9826907576904;-68,6247737718283;-54,9040662772282;-55,3015566943489;-57,6431476675443;-56,557026662308;-53,0273531258185;-53,2913538476313;-52,5702110382308;-54,204542175115
3,5;-55,0703612560155;-52,7891112189722;-53,4064190968114;-52,7267824631997;-53,428036535521;-53,527579672228;-59,2145532319416;-55,3322598493267;-59,6054065635312;-61,4252388191191;-57,9359593620586;-57,9606223232851;-63,6126739141732;-61,5875745891362;-53,8803824857831;-56,6301305432251;-66,3449193671786;-68,435135040499;-54,9732521400412;-55,3279995381107;-57,9375803068957;-56,7568817533329;-53,1173747509055;-53,4314092083162;-52,5780548943573;-54,2042234128537
4,5;-55,0578990769353;-52,9008710888026;-53,3491929841074;-52,7267824631997;-53,428036535521;-53,527579672228;-59,6099518697407;-55,3322598493267;-59,6054065635312;-61,4252388191191;-57,9359593620586;-57,9606223232851;-63,7236903472404;-61,6930478275359;-53,8803824857831;-56,6301305432251;-66,3449193671786;-68,0310034503357;-55,0559503320964;-55,4108604034339;-57,6305336724192;-56,780557550388;-53,1525514925376;-53,4345170506399;-52,6184675950135;-54,2045665491552
5,5;-55,0081050835307;-52,9008710888026;-53,2723114094236;-52,987262367302;-53,7745410481266;-53,7678147039754;-60,0770391729656;-55,226325859122;-60,1494031927034;-61,7322595241831;-58,0278800101712;-58,1024514527998;-63,8883918186552;-61,9060136061394;-53,9731965760521;-56,8349219308736;-66,5531608982197;-68,3434675349809;-55,0559503320964;-55,4108604034339;-57,8740566117072;-56,7411392920583;-53,0944321464543;-53,3197098894147;-52,6436114089191;-54,1351282227086
6,5;-54,9298856530565;-52,9008710888026;-53,2285331003366;-52,987262367302;-53,7745410481266;-53,7678147039754;-60,3237689500469;-55,226325859122;-60,1494031927034;-61,7322595241831;-58,0278800101712;-58,1024514527998;-64,3255727751918;-62,0493064478703;-53,9731965760521;-56,8349219308736;-66,5531608982197;-68,0183114293042;-55,2081417836829;-55,558363733145;-58,336627839715;-56,7400238966333;-53,0082503786378;-53,1676386938387;-52,6289531429258;-54,024363843539
7,5;-54,8737483782321;-53,1409686184404;-53,2731175307083;-53,2890047118702;-54,0734941681306;-53,9561535741503;-60,5245850024219;-55,2287149555241;-60,1494031927034;-61,7322595241831;-58,0278800101712;-58,1024514527998;-65,1468823446534;-62,7096322152529;-54,0616038342514;-57,0150648800348;-66,5609759811477;-68,0183114293042;-55,3826724182943;-55,7028901097877;-58,8093179508671;-57,219130389128;-52,9755818345214;-53,0822169667135;-52,5909475246134;-53,9287753835659
8,5;-54,8580657181075;-53,1409686184404;-53,3939162026948;-53,2890047118702;-54,0734941681306;-53,9561535741503;-60,6439637449564;-55,3585793529461;-63,7444665197722;-63,4366400216065;-58,1944573901593;-58,6897070629681;-65,2639456758603;-63,1397553891094;-54,0616038342514;-57,0150648800348;-66,5609759811477;-68,3897326096112;-55,6110464421849;-56,0024377037578;-58,8959280867192;-57,7478450265359;-53,0435948603783;-53,1035210173473;-52,554508229808;-53,8729255322545
9,5;-54,8415663918279;-53,1409686184404;-53,3939162026948;-53,5672843639169;-54,4030120553916;-54,1760775735703;-60,7043295396158;-55,3585793529461;-63,7444665197722;-63,4366400216065;-58,1944573901593;-58,6897070629681;-65,3296271275871;-63,3824446421557;-54,1311056593604;-57,2698842523458;-66,5171860059337;-68,0045017936448;-55,6110464421849;-56,0024377037578;-59,0483239024337;-57,8678030069704;-53,188211394233;-53,1447940296327;-52,554508229808;-53,8729255322545
10,5;-54,7944571552993;-54,5969830526069;-53,4633043302031;-53,5672843639169;-54,4030120553916;-54,1760775735703;-60,7263234441056;-55,4146319782589;-63,9907176821864;-65,3508599307884;-58,469155993254;-59,1597321327441;-65,2339215021436;-63,4167559506605;-54,1311056593604;-57,2698842523458;-66,5171860059337;-67,7183183135541;-55,9059296944385;-56,3727563376488;-59,3237631755709;-57,866392306621;-53,3642644155928;-53,2010924015521;-52,5255579335149;-53,8436606709118
11,5;-54,7116035648004;-54,5969830526069;-53,4483962033891;-53,7799273345063;-54,7869529072984;-54,539344656158;-60,7429637658455;-55,4146319782589;-63,9907176821864;-65,3508599307884;-58,469155993254;-59,1597321327441;-65,0583162221358;-63,4077161868652;-54,2033311519788;-57,5648903006959;-66,419456933292;-67,8069638043015;-56,5346592586099;-56,9141554474668;-59,030908234642;-57,8517720203741;-53,504827738616;-53,2135607083591;-52,5099943202228;-53,8178641164089
12,5;-54,6360697849075;-54,5969830526069;-53,3677798566266;-53,7799273345063;-54,7869529072984;-54,539344656158;-60,7608860525775;-55,6663176206779;-63,9907176821864;-65,3508599307884;-58,469155993254;-59,1597321327441;-64,9271569970109;-63,3649741660009;-54,2033311519788;-57,5648903006959;-66,419456933292;-67,6888500974222;-56,5346592586099;-56,9141554474668;-59,0792571459203;-58,0738111624089;-53,5651384107149;-53,2401294946248;-52,519841945587;-53,8025900483639
13,5;-54,6203280345047;-55,1347767840291;-53,2617349081965;-54,044635813796;-55,1935930537129;-54,7670406474462;-60,7882487466728;-55,6663176206779;-64,1017048929051;-70;-59,716661251565;-61,1210889194153;-64,8037607032089;-63,3410074589104;-54,3166944896955;-57,858576206477;-66,361005796938;-67,6888500974222;-56,8094941271058;-57,2855802590494;-59,2179805330408;-58,2723857294073;-53,7075155286415;-53,4310036979845;-52,5628851194093;-53,8526327757113
14,5;-54,7717295438451;-55,1347767840291;-53,2204799091296;-54,044635813796;-55,1935930537129;-54,7670406474462;-60,8328086681578;-55,709942638745;-64,1017048929051;-70;-59,716661251565;-61,1210889194153;-64,6813416049703;-63,3036073837795;-54,3166944896955;-57,858576206477;-66,361005796938;-68,0263847876582;-57,142800764957;-57,5734895048578;-59,2488412045198;-58,4854352112485;-53,9313295845216;-53,6150455815929;-52,6290450516486;-54,0662586584112
15,5;-55,2504259279507;-55,6183615833641;-53,2684968571738;-54,5577406124874;-56,6462541785753;-55,0629812053133;-60,8787403402545;-55,709942638745;-64,4509053750997;-70;-60,2177789085003;-66,5207238507359;-64,6787279778181;-63,3592133715081;-54,5107572031794;-58,1786902896552;-66,4818840488913;-67,8006885928354;-57,3661830276996;-57,8132085080327;-59,5435566241043;-58,6339135539272;-54,2741068009337;-53,8188977056915;-52,7245743891909;-54,5304089977514
16,5;-55,8842434429326;-55,6183615833641;-53,3296955071638;-54,5577406124874;-56,6462541785753;-55,0629812053133;-60,9484923283575;-55,7464484837499;-64,4509053750997;-70;-60,2177789085003;-66,5207238507359;-64,7343702848557;-63,4625026218831;-54,5107572031794;-58,1786902896552;-66,4818840488913;-67,6961785497765;-57,3661830276996;-57,8132085080327;-59,7801488525024;-58,7432812238876;-54,6098439405111;-54,0740009718876;-52,8685791366837;-55,1264904767822
17,5;-56,5228769350966;-55,6183615833641;-53,3555186068831;-54,8726531842403;-57,0499737244269;-55,4446328016961;-61,0283465408181;-55,7464484837499;-64,4509053750997;-70;-60,2177789085003;-66,5207238507359;-64,8916354904481;-63,5982495138322;-54,6706234034802;-58,5211519699461;-66,745787652282;-68,1785338444859;-57,5401340282802;-58,0196062886858;-59,7637378407661;-58,7660894767681;-54,8506295578715;-54,376419652159;-53,0896064901844;-55,8502095550651
18,5;-56,5852909097191;-55,6605701946903;-53,3555186068831;-54,8726531842403;-57,0499737244269;-55,4446328016961;-61,1308525167783;-55,8029439039942;-65,9472945240381;-70;-67,7624447887744;-67,8516838356516;-65,3719506526969;-63,8933165538467;-54,6706234034802;-58,5211519699461;-66,745787652282;-68,0407975822361;-57,6489024240917;-58,1892896821251;-60,1093853027207;-58,732277390954;-55,3829251298613;-54,6576811483679;-53,0896064901844;-55,8502095550651
19,5;-56,6102380867188;-55,6605701946903;-53,3515517488462;-55,0370347621874;-57,4122586665464;-56,6659384391602;-61,2441606430939;-55,8029439039942;-65,9472945240381;-70;-67,7624447887744;-67,8516838356516;-65,8787596964281;-64,4684112788471;-54,8385631407101;-59,0005304580289;-67,3717624674307;-67,7882034794718;-57,6489024240917;-58,1892896821251;-60,577982299502;-58,6586382251033;-56,6316635665874;-55,2967197487203;-53,430746503565;-56,513245366833
