"Latitude";"ACCESS1-0";"CMCC-CESM";"CMCC-CM";"CNRM-CM5";"GFDL-ESM2G";"GFDL-ESM2M";"GISS-E2-R";"IPSL-CM5A-LR";"IPSL-CM5A-MR";"IPSL-CM5B-LR";"MPI-ESM-LR";"MPI-ESM-MR";"MRI-CGCM3";"NorESM1-M";"NorESM1-ME"
-59;-0,204069260369924;-0,30342316727453;-0,837473841698133;-0,0184404126689323;-0,245234655622182;-0,304819680373367;-0,160226564151135;-0,000335575270206133;0,0652004797569024;-0,0022588686692864;-0,304860624744197;-0,292406523655561;-0,0124426075794309;-0,498280261955529;-0,467281466122492
-58;-0,192778094671185;-0,239175166915055;-0,763223808540092;0,0547153801022124;-0,255984526012828;-0,302594343574818;-0,0660869688623922;0,0125632486442045;0,0907431948371808;0,0311549826107264;-0,290530065596227;-0,279841050641102;0,0394739477726464;-0,549178823906317;-0,513257710287221
-57;-0,167236814369773;-0,646588975555652;-0,976272900784128;0,0861287529015744;-0,264635310500561;-0,295571587981414;0,0263452778712917;-0,0139701407332611;0,0960321529398037;0,0208661121920683;-0,270463284851476;-0,258439698447618;0,0924541960412672;-0,565034399170424;-0,566898370913019
-56;-0,152475486519825;-0,741070041518899;-0,818479807505306;0,103318242635202;-0,266266145601239;-0,281357974662647;0,0278064117242524;-0,0283650056258164;0,12761844309417;0,019267395923584;-0,247027941960095;-0,234534503578436;0,155437603405389;-0,603669075109205;-0,569716822729813
-55;-0,136395741247659;-0,741070041518899;-0,818479807505306;0,101652526264526;-0,261690309826193;-0,26482333569623;-0,0331398735324871;-0,0283650056258164;0,12761844309417;0,019267395923584;-0,222458813473115;-0,216014569780768;0,185718503471998;-0,632533443982677;-0,59137988872995
-54;-0,116815585835179;-0,880120518261521;-0,803915568404429;0,155146063700729;-0,248532425285513;-0,238891023699123;-0,0973034918462976;-0,0248759672497685;0,154562460657596;0,0317334883412992;-0,195524652936077;-0,185178903560141;0,240458906671923;-0,635321684982762;-0,605208244051064
-53;-0,0735030386720085;-0,852923642011238;-0,58592700803508;0,224036757672586;-0,228949172024704;-0,210129070021811;-0,115906196046359;-0,025262778540896;0,144050490436753;0,0128709862114731;-0,163194959933266;-0,155647325393856;0,314336039119322;-0,665621855984913;-0,634858904065065
-52;-0,0465450610311424;-0,84865433076736;-0,367650445164983;0,265612092254274;-0,201700439855317;-0,176871505541333;-0,105294522923088;-0,0384423857012497;0,0887564006316117;-0,0390606856024917;-0,132447088297838;-0,118770092521843;0,404385605353079;-0,59310511532387;-0,552478974850048
-51;-0,0241347477416523;-0,658812668816998;-0,0495574324794709;0,414514896387362;-0,170536574664141;-0,140040737371674;-0,0737317101207723;-0,0676138782929859;0,0132944885439317;-0,0811229786518187;-0,111599326633517;-0,0914176430452038;0,493372109283426;-0,59368459797529;-0,560380430359859
-50;0,00225659995542187;-0,333785330727663;0,388469479991543;0,447480339551465;-0,135122884759194;-0,102865449606076;-0,0462508899407558;-0,0369231635949755;0,0224715903541248;-0,0400025820032512;-0,0831204257028564;-0,047525479754464;0,557920808904653;-0,579128120919415;-0,555219824087945
-49;0,0268486266224299;-0,333785330727663;0,388469479991543;0,366927358002542;-0,100119843267038;-0,0685088419934891;-0,0142639094375573;-0,0369231635949755;0,0224715903541248;-0,0400025820032512;-0,0492768068744921;-0,0231662837336869;0,609414230693852;-0,643359176543659;-0,564951580705489
-48;0,0506249592651669;-0,448995204553523;0,253420382754953;0,184138044231141;-0,0665480836600491;-0,0353185583760299;0,0514522041737657;0,0265144127992789;0,0835425980370069;0,0304720475398144;-0,0149003159625717;0,016810164087104;0,663717055678272;-0,580164675837594;-0,537256272154146
