"Longitude";"ACCESS1-0";"CanESM2";"CCSM4";"CMCC-CESM";"CMCC-CM";"CMCC-CMS";"CNRM-CM5";"CSIRO-Mk3-6-0";"GISS-E2-H-CC";"GISS-E2-H";"GISS-E2-R-CC";"GISS-E2-R";"HadGEM2-CC";"HadGEM2-ES";"IPSL-CM5A-LR";"IPSL-CM5A-MR";"IPSL-CM5B-LR";"MIROC5";"MIROC-ESM-CHEM";"MIROC-ESM";"MPI-ESM-LR";"MPI-ESM-MR";"MRI-CGCM3";"MRI-ESM1";"NorESM1-ME";"NorESM1-M"
0,5;-55,0657268831686;-52,7650844835168;-53,6054125627155;-52,4884161998477;-53,1687675935437;-53,3405041276821;-59,394094954039;-55,0886486786101;-60,112924569525;-61,612199178874;-57,8534442449676;-57,8990646406068;-63,6027463125611;-61,0846142280995;-53,8419973741789;-56,5667831257936;-65,7798351592651;-68,584572916455;-54,9716220190152;-55,7273121518626;-57,5617683239138;-56,0329837903481;-52,9775158480151;-53,1434095451329;-53,0351113644755;-54,3310175972525
1,5;-55,1055420774672;-52,8202827941793;-53,5785064802066;-52,5054358820547;-53,2779848920179;-53,4786193320199;-59,479419049823;-55,2341444909535;-60,112924569525;-61,612199178874;-57,8534442449676;-57,8990646406068;-63,7234969627858;-61,1796597014729;-53,9280147040688;-56,7801095948494;-66,1555484399397;-68,4026505558814;-55,0475582647421;-55,7537086783272;-57,5538973148319;-56,0510636880774;-53,1304442336509;-53,3969991104766;-52,9230905565749;-54,2019168497915
2,5;-55,1518665008281;-52,8202827941793;-53,5650437424901;-52,5054358820547;-53,2779848920179;-53,4786193320199;-59,6082760449261;-55,2341444909535;-60,112924569525;-61,612199178874;-57,8534442449676;-57,8990646406068;-63,6579129537487;-61,708630050835;-53,9280147040688;-56,7801095948494;-66,1555484399397;-68,6386943650102;-55,0475582647421;-55,7537086783272;-57,8727393053272;-56,2834364931863;-53,2804558338571;-53,5315980003012;-52,8532147540272;-54,1426365251181
3,5;-55,1592556178196;-52,8202827941793;-53,5431190736209;-52,6626950110199;-53,5362814865421;-53,6687103664771;-59,8206800065719;-55,3399145866986;-62,4592239942135;-61,6517442217779;-57,9223237012074;-58,0034740479257;-63,7270024480379;-61,7681540083714;-54,0281806992581;-56,996603583219;-66,4182897954692;-68,4965513372776;-55,1307015535698;-55,8161390489837;-58,1441334857904;-56,5329637541374;-53,4273391185023;-53,5780301945845;-52,834719228484;-54,1470922549823
4,5;-55,1117467100371;-52,9796572479779;-53,4841242271623;-52,6626950110199;-53,5362814865421;-53,6687103664771;-60,1981382328696;-55,3399145866986;-62,4592239942135;-61,6517442217779;-57,9223237012074;-58,0034740479257;-63,8291513434998;-61,7697823897012;-54,0281806992581;-56,996603583219;-66,4182897954692;-68,0478427126646;-55,2262949600977;-55,9114933862275;-57,8733666032533;-56,5535575135567;-53,4520085767684;-53,5766765142975;-52,8438961560625;-54,1490317776641
5,5;-55,0260310057285;-52,9796572479779;-53,4054932555615;-52,9364901904176;-53,8149363514653;-53,8994864561543;-60,4794070482895;-55,3324635295931;-65,6965709333075;-61,7796026232166;-58,0148463047785;-58,1613660480715;-63,9992778810502;-61,8978788080744;-54,1558833532136;-57,2436268166261;-66,5943040340759;-68,3905302816851;-55,2262949600977;-55,9114933862275;-58,1677373138592;-56,4814376699694;-53,2811755019761;-53,5472831782787;-52,8340375035689;-54,0863438192899
6,5;-54,931942782826;-52,9796572479779;-53,3517689817175;-52,9364901904176;-53,8149363514653;-53,8994864561543;-60,6622321699924;-55,3324635295931;-65,6965709333075;-61,7796026232166;-58,0148463047785;-58,1613660480715;-64,5276651764266;-62,1507608824122;-54,1558833532136;-57,2436268166261;-66,5943040340759;-68,0324134218018;-55,3982650177143;-56,1254251999383;-58,7367658567271;-56,4362261091185;-53,1035162311387;-53,4480819742027;-52,7876485635244;-53,987833160536
7,5;-54,8670692375316;-54,1496321216912;-53,3897513340087;-53,215802782333;-54,0999481044092;-54,0821263894885;-60,7815701867687;-55,3315237944826;-65,6965709333075;-61,7796026232166;-58,0148463047785;-58,1613660480715;-65,169940357948;-62,8321797140602;-54,2758349550227;-57,4454715197785;-66,5683809712724;-68,0324134218018;-55,5314515687519;-56,3765837852799;-58,9416826862832;-56,606591717649;-53,0378777320749;-53,3277508431532;-52,7229103734248;-53,9053311984677
8,5;-54,8442216584854;-54,1496321216912;-53,4890347529293;-53,215802782333;-54,0999481044092;-54,0821263894885;-60,8707200544175;-55,350817597328;-65,7417042023691;-63,4850903168397;-58,2007174855994;-58,9830644180191;-65,3276924549375;-63,0306289142856;-54,2758349550227;-57,4454715197785;-66,5683809712724;-68,4497168997363;-55,6964367653218;-56,9714335297207;-59,0653312033839;-57,6016012205817;-53,1164182556273;-53,3880845712642;-52,6814598981173;-53,8595868966097
9,5;-54,8199819969059;-54,1496321216912;-53,4890347529293;-53,5154016316962;-54,4806051789064;-54,3136779877064;-60,9140472830297;-55,350817597328;-65,7417042023691;-63,4850903168397;-58,2007174855994;-58,9830644180191;-65,3851775296484;-63,2525511636674;-54,3713359191962;-57,6635154894154;-66,490321967231;-68,0269254226666;-55,6964367653218;-56,9714335297207;-59,1876518889485;-57,718933132857;-53,2997840771278;-53,4900235237063;-52,6814598981173;-53,8595868966097
