"Latitude";"ACCESS1-0";"CMCC-CESM";"CMCC-CM";"CNRM-CM5";"GFDL-ESM2G";"GFDL-ESM2M";"GISS-E2-R";"IPSL-CM5A-LR";"IPSL-CM5A-MR";"IPSL-CM5B-LR";"MPI-ESM-LR";"MPI-ESM-MR";"MRI-CGCM3";"NorESM1-M";"NorESM1-ME"
-89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-78;0;0;0;0;0;0;0;0;0;0;-0,000993535038062533;0;-0,000143999925838633;-6,35372710570667e-05;-0,000156903539284267
-77;-0,00248103884415627;0,0155342311745621;0,0203890652595541;0;0;-0,00134664375721493;0;0,000510557547440533;0,000537710347921067;0,000695775298561067;-0,00453736322197173;-0,0026828553026036;-0,000145324038380333;-0,000671227080198667;-0,00173217433152853
-76;-0,00535491907127395;0,0283407095477536;0,0199719787832299;-0,00373263778162549;-0,001872563994946;-0,002937938545426;-0,000853040346412078;0,00045554192249535;-0,0001908562475008;-0,000703092322592533;-0,00922837375213084;-0,00538268600170787;-0,000334003216244133;-0,00309995889224747;-0,00413609568997547
-75;-0,0098979285200629;0,0185649073596843;0,0126590644579563;-0,00726422597488931;-0,00420246619731973;-0,00714191727363947;-0,00456687758334256;-0,00136018810245413;-0,00322956223344213;-0,00417538957737653;-0,0155969467588913;-0,0106934496066411;-0,00100881924801253;-0,00615862641619413;-0,00696957310291413
-74;-0,0144451806926175;-0,000457342351534933;-0,0065289898997888;-0,0122085211929429;-0,00883860735280133;-0,0129418065359308;-0,0118150410590649;-0,00473700755591773;-0,00705551191269333;-0,00751683931793707;-0,02512674010172;-0,0198224384686088;-0,00206637410644587;-0,0097001115037888;-0,010805675183284
-73;-0,0237622902456512;0,00665001073066667;-0,0266246561105557;-0,0178038002508429;-0,0162318466690373;-0,0205178603959677;-0,024062603972598;-0,00420497997880153;-0,0011532142777312;-0,0102158991348889;-0,0391048104596977;-0,0304961876379183;-0,00355053445154707;-0,016506071842368;-0,0172490756240977
-72;-0,0363350514083245;0,00927839993719893;-0,0560059670936336;-0,027538342418885;-0,0272816511489637;-0,0315794321707112;-0,0391137950327704;-0,00408454766300533;0,0006055162005692;-0,0166224688643723;-0,0565211771018305;-0,0487447012018228;-0,0065911937955156;-0,0266833425306155;-0,0268003146331664
-71;-0,0472433628920581;-0,00409783648868267;-0,0794564329092949;-0,0358359507099001;-0,033615060217495;-0,0441633385348757;-0,0570035151750867;-0,00882335437683787;-0,00532182576796267;-0,0212456504857472;-0,0770419230745945;-0,0633780260663278;-0,00900109866353013;-0,0299677009339536;-0,0273675765400061
-70;-0,0653569925230607;-0,0549446389710848;-0,12035512446982;-0,045337270930286;-0,0521424106413499;-0,0601081117800981;-0,0733595259012159;-0,0231732088932423;-0,0261984014815893;-0,0383433049989931;-0,101876261489015;-0,0895145558674089;-0,0109502691668477;-0,0424702097775595;-0,0389105236236928
-69;-0,0801246759653899;-0,0737345552738944;-0,12681534655781;-0,0550990102083014;-0,0639301792349547;-0,0848619975383747;-0,0954091694720744;-0,0283468039561796;-0,0334683090100181;-0,0515845683992141;-0,135070736455206;-0,113400961054398;-0,0153666655245997;-0,0563085490973531;-0,0512969711439157
-68;-0,0996678550854677;-0,180504453365419;-0,223781611896166;-0,0841693928650536;-0,0780427225035432;-0,113638953452194;-0,123323722030788;-0,0428928215038592;-0,0637358429539427;-0,0724162644307499;-0,166884534125213;-0,146958088092574;-0,0221524761208689;-0,0749506128475179;-0,0609777619698528
-67;-0,12000209875412;-0,232922390216539;-0,275010252333265;-0,100458810302818;-0,115886229863669;-0,147722695579187;-0,160390804843195;-0,0500610113507566;-0,0786017584049453;-0,0818255309933909;-0,20121190231106;-0,172995592551039;-0,0277042871350509;-0,10639845440819;-0,0887058553856939
-66;-0,144038914377055;-0,26085091751032;-0,296301513833963;-0,104178821547804;-0,147046778210102;-0,190779912814487;-0,195830951052456;-0,0408598098543231;-0,0724241047028512;-0,0848907464624224;-0,241579349731497;-0,213926195917939;-0,0368282329615848;-0,148122234014898;-0,115802725832316
-65;-0,17403877039601;-0,280887930197175;-0,309102135884442;-0,101837343529651;-0,176627947104523;-0,238771870649047;-0,252847211856076;-0,0540011175446459;-0,0756116177300664;-0,104827324603243;-0,287120858089591;-0,255056351036411;-0,0557148269315685;-0,199161134865448;-0,158592701488185
-64;-0,192529347979226;-0,340005007233788;-0,44535089132928;-0,134337065855259;-0,210073648110718;-0,28541131103592;-0,286216489157765;-0,0646995511369063;-0,0810684991562219;-0,0960882076175104;-0,326242665937932;-0,290864991669566;-0,0642085521908553;-0,230267989541116;-0,186876319336728
-63;-0,231405080142076;-0,38559541734096;-0,542399576610733;-0,163045107299075;-0,245962507807309;-0,328218748316507;-0,296559493396881;-0,0812007527353162;-0,0972691356799189;-0,0901065256027307;-0,361989633534749;-0,329544111077365;-0,0785851112504989;-0,297603793661875;-0,25990188902631
-62;-0,248637349963157;-0,400709588834016;-0,626242786608538;-0,18225658864934;-0,279511142295494;-0,375151305474281;-0,280361344428735;-0,0926866413140423;-0,101577145214362;-0,08281608653688;-0,384172637404564;-0,348574568323502;-0,109553931036736;-0,364945173557232;-0,326509291574384
