"Longitude";"ACCESS1-0";"CanESM2";"CCSM4";"CMCC-CESM";"CMCC-CM";"CMCC-CMS";"CNRM-CM5";"CSIRO-Mk3-6-0";"GISS-E2-H-CC";"GISS-E2-H";"GISS-E2-R-CC";"GISS-E2-R";"HadGEM2-CC";"HadGEM2-ES";"IPSL-CM5A-LR";"IPSL-CM5A-MR";"IPSL-CM5B-LR";"MIROC5";"MIROC-ESM-CHEM";"MIROC-ESM";"MPI-ESM-LR";"MPI-ESM-MR";"MRI-CGCM3";"MRI-ESM1";"NorESM1-ME";"NorESM1-M"
264,5;-65,7804512449541;-63,8950133416359;-63,8969943843184;-60,9472080417009;-63,6127220899019;-61,9761521642636;-68,233327868084;-65,8376383851587;-65,591536458857;-70,8401564221642;-62,1707209181383;-62,548244168262;-68,1772268126963;-67,9298552163665;-62,7378877166813;-64,2535923491979;-68,4913814902998;-70,044006874428;-63,651075779599;-63,8251779051592;-66,0805297351387;-65,9815585820774;-66,5436249142517;-66,3465037236611;-64,6822536950417;-66,147352727523
265,5;-65,7784931401291;-63,8950133416359;-63,8007200589978;-60,9033284833505;-63,6272307516498;-61,9740411902045;-68,1650392875777;-65,6648207331713;-65,5494554520522;-69,5567147832062;-62,0251863460916;-62,4209636377407;-68,1599370657979;-67,9545358458713;-62,6876880420702;-64,2295890724442;-68,4804890567428;-70,216273208457;-63,651075779599;-63,8251779051592;-66,0809614766765;-66,1020318405908;-66,513552445651;-66,2621448449121;-64,6612032806114;-66,1363946829569
266,5;-65,773598984952;-63,8555473012073;-63,7067924953214;-60,9033284833505;-63,6272307516498;-61,9740411902045;-68,1089345740548;-65,6648207331713;-65,5494554520522;-69,5567147832062;-62,0251863460916;-62,4209636377407;-68,1394591982387;-67,9741482227183;-62,6876880420702;-64,2295890724442;-68,4804890567428;-70,2394609179052;-63,6459506245687;-63,7860534235987;-66,047258484418;-66,2122349817219;-66,4523472769671;-66,2192613669678;-64,6277466796783;-66,1163442325479
267,5;-65,7748083009833;-63,8555473012073;-63,6313613577267;-60,8957083290225;-63,6431139598299;-61,926852835399;-68,0500955823623;-65,5794767887159;-65,5494554520522;-69,5567147832062;-62,0251863460916;-62,4209636377407;-68,1706860233191;-68,0228325270095;-62,6690999737992;-64,2282623791715;-68,4851528759126;-70,0091814549565;-63,6256382720991;-63,7326336256136;-66,0595769267089;-66,260682907371;-66,4037239813232;-66,2131754404719;-64,5943415482101;-66,0775625722059
268,5;-65,7545170679935;-63,8555473012073;-63,5796263769388;-60,8957083290225;-63,6431139598299;-61,926852835399;-68,0072644983418;-65,5794767887159;-65,5068315486683;-69,0030078566032;-61,9277681960123;-62,127017756996;-68,2165169834787;-68,0872804206907;-62,6690999737992;-64,2282623791715;-68,4851528759126;-70,2113314032943;-63,6256382720991;-63,7326336256136;-66,0580495548169;-66,3051145110875;-66,3183369304681;-66,195371101504;-64,5738508497551;-66,0256133153787
269,5;-65,7507103315563;-63,8158862746372;-63,5516069910503;-60,975978335658;-63,6501906176115;-61,8998257378384;-67,9799501429618;-65,4081380194795;-65,5068315486683;-69,0030078566032;-61,9277681960123;-62,127017756996;-68,2448708506265;-68,1227740283591;-62,6508810343491;-64,2062596340019;-68,5012511524463;-70,4057804627102;-63,5687949742728;-63,6993498299965;-66,0105645732328;-66,2753306544227;-66,2198887929543;-66,1481922212542;-64,5695486195548;-65,9846682402941
270,5;-65,776479823362;-63,8158862746372;-63,5516069910503;-60,975978335658;-63,6501906176115;-61,8998257378384;-67,9965995651657;-65,4081380194795;-64,4682583050557;-68,5665241934214;-61,8841630870716;-62,0674747064271;-68,2702809715938;-68,1388198582753;-62,6508810343491;-64,2062596340019;-68,5012511524463;-70,0434504299964;-63,5356582507803;-63,6714922369253;-66,0105645732328;-66,2587055360996;-66,1260014382463;-66,0853108036201;-64,5695486195548;-65,9846682402941
271,5;-65,8014965373444;-63,7855358841949;-63,5353302708372;-61,1871440178565;-63,6599598823278;-61,9179413091354;-68,0496629294576;-65,2227547073003;-64,4682583050557;-68,5665241934214;-61,8841630870716;-62,0674747064271;-68,3111885878603;-68,193305760357;-62,6531401643115;-64,1855928398378;-68,4916772253643;-70,2497995372198;-63,5092629232612;-63,63752650114;-65,9195277605616;-66,2953473379841;-66,0727975127859;-66,0129509033099;-64,5744790551346;-65,9656533646234
272,5;-65,8187847594018;-63,7855358841949;-63,5130494772634;-61,1871440178565;-63,6599598823278;-61,9179413091354;-68,1422942654134;-65,2227547073003;-64,4682583050557;-68,5665241934214;-61,8841630870716;-62,0674747064271;-68,361933494344;-68,2619035702698;-62,6531401643115;-64,1855928398378;-68,4916772253643;-70,4956445498905;-63,5092629232612;-63,63752650114;-65,7727311337398;-66,2556608913391;-66,0225554894157;-65,9261828631567;-64,5763623978864;-65,9537134662248
273,5;-65,8292583458928;-63,7855358841949;-63,4715279923871;-61,4328160829402;-63,6600101028681;-62,0263796657176;-68,1944636708141;-65,0350178772694;-64,4905529370344;-68,5260259476223;-61,853090937456;-62,0209843585793;-68,4021577632118;-68,3118321332542;-62,6519506154772;-64,183835447974;-68,4843246407244;-70,3441763059397;-63,4544038501509;-63,5778184182328;-65,7727311337398;-66,1648360857846;-65,9990705219538;-65,8573332561547;-64,5819028174491;-65,9397017976764
