"Longitude";"ACCESS1-0";"CanESM2";"CCSM4";"CMCC-CESM";"CMCC-CM";"CMCC-CMS";"CNRM-CM5";"CSIRO-Mk3-6-0";"GISS-E2-H-CC";"GISS-E2-H";"GISS-E2-R-CC";"GISS-E2-R";"HadGEM2-CC";"HadGEM2-ES";"IPSL-CM5A-LR";"IPSL-CM5A-MR";"IPSL-CM5B-LR";"MIROC5";"MIROC-ESM-CHEM";"MIROC-ESM";"MPI-ESM-LR";"MPI-ESM-MR";"MRI-CGCM3";"MRI-ESM1";"NorESM1-ME";"NorESM1-M"
0,5;-57,1299947141861;-55,8898816107375;-57,8927160480576;-54,9419903941461;-59,1495376945002;-58,7900096064106;-67,1373805467172;-59,6436172177142;-60,2029318365774;-70,4717251826294;-60,1083847075205;-60,8029362215588;-66,6149341333967;-66,3329030194158;-57,7461025558086;-60,8140047524936;-71;-68,6412677324403;-66,0349942503624;-66,4962318051186;-67,7730516767214;-65,0413218934202;-60,2382746083525;-60,8498685970021;-55,4918199190365;-56,8614109385339
1,5;-57,1717143436761;-55,9088438402755;-57,7529699943351;-55,0660491569153;-59,3177432236042;-58,9572166626175;-67,1520597986322;-59,6308909753841;-60,2029318365774;-70,4717251826294;-60,1083847075205;-60,8029362215588;-66,5511151959073;-66,2847378352053;-57,8652099618338;-60,9810327886138;-71;-68,6414336624986;-65,9961131569298;-66,3126624845408;-67,9129106558283;-64,9971424861428;-60,2227824698418;-60,7997923890935;-55,3291340738879;-56,7869212465118
2,5;-57,2272716327081;-55,9088438402755;-57,613396330673;-55,0660491569153;-59,3177432236042;-58,9572166626175;-67,1594399956914;-59,6308909753841;-60,2029318365774;-70,4717251826294;-60,1083847075205;-60,8029362215588;-66,4339771540436;-66,1594746959335;-57,8652099618338;-60,9810327886138;-71;-68,6931197936435;-65,9961131569298;-66,3126624845408;-68,3795545055372;-64,8910403153424;-60,1416052752846;-60,6234121311635;-55,2307838318529;-56,7536079358007
3,5;-57,2518699062261;-55,9088438402755;-57,4626416742506;-55,2627675787943;-59,5520896836781;-59,177729737478;-67,0926238298764;-59,3603684244995;-60,2283687481493;-71;-60,1823888834519;-62,7075808050765;-66,424374401611;-66,165876181032;-57,9745995007109;-61,1779355533244;-71;-68,6129606567349;-65,9737500692888;-66,1786474626785;-67,8597663618487;-64,7260343699814;-59,9985915111242;-60,4398835048367;-55,1588977843403;-56,7085876884606
4,5;-57,2618966671029;-55,9239236937118;-57,3066922349599;-55,2627675787943;-59,5520896836781;-59,177729737478;-66,9495263303287;-59,3603684244995;-60,2283687481493;-71;-60,1823888834519;-62,7075808050765;-66,4610375687458;-66,2281094007442;-57,9745995007109;-61,1779355533244;-71;-68,3720523003379;-65,9647266127041;-66,1240732642754;-68,0662435742435;-64,6564616031235;-59,8891332002871;-60,3185582213766;-55,0655424105716;-56,6546990888129
5,5;-57,2777528270518;-55,9239236937118;-57,1753344200371;-56,6568835217311;-59,8027476291639;-59,4329651775405;-66,7943876662699;-58,7236890582889;-60,3504008148094;-69,6406807823161;-60,2186127310592;-62,864961949328;-66,4828181639278;-66,2596239021011;-58,0859917047718;-61,3822067562613;-70;-68,5954811135584;-65,9647266127041;-66,1240732642754;-68,0808345829342;-64,5630259234556;-59,8708856995233;-60,2319294180815;-54,9607775887826;-56,6028781150783
6,5;-57,3170006557509;-55,9239236937118;-57,0804873649424;-56,6568835217311;-59,8027476291639;-59,4329651775405;-66,6703591998953;-58,7236890582889;-60,3504008148094;-69,6406807823161;-60,2186127310592;-62,864961949328;-66,4490282816091;-66,2275100760556;-58,0859917047718;-61,3822067562613;-70;-68,3624274404887;-65,9414909429703;-66,1264342859518;-68,0592735970289;-64,5897120977502;-59,819200025522;-60,2154983940528;-54,8366377607978;-56,5846486414885
7,5;-57,3715286438616;-55,9574881821102;-57,0100605669867;-57,1570278398287;-60,111306465355;-59,5585511142156;-66,52770953883;-58,5257736096063;-60,3504008148094;-69,6406807823161;-60,2186127310592;-62,864961949328;-66,3475012249231;-66,0883737001002;-58,2485427143298;-61,723516104614;-70;-68,3634894043794;-65,9110470548377;-66,1864230778427;-67,6391443228718;-64,8367139116806;-59,6286750524712;-60,1726841333759;-54,7185075758968;-56,6829592954604
8,5;-57,4542927155426;-55,9574881821102;-56,9802878834004;-57,1570278398287;-60,111306465355;-59,5585511142156;-66,2803752860878;-58,5218185191065;-61,5551034425719;-69,5719955985494;-60,2928408576824;-64,7702400746756;-66,2556345571838;-65,9706936195718;-58,2485427143298;-61,723516104614;-70;-68,6041317277309;-65,8724783274188;-66,2631034093098;-67,2619511139018;-64,9893035740541;-59,6077558533472;-60,2787618040192;-54,6587617789369;-57,0034595349437
9,5;-57,9632017321139;-55,9574881821102;-56,9802878834004;-57,8512278313307;-60,4666992634988;-59,6641611242211;-65,9931123910117;-58,5218185191065;-61,5551034425719;-69,5719955985494;-60,2928408576824;-64,7702400746756;-66,1106903013496;-65,8166729780279;-58,4679900170761;-62,2875971272499;-70;-68,3127948912882;-65,8724783274188;-66,2631034093098;-66,9955508201686;-65,0625177928883;-59,675034712413;-60,3697403190747;-54,6587617789369;-57,0034595349437
10,5;-58,6933816521903;-56,0728852732556;-57,0119279495854;-57,8512278313307;-60,4666992634988;-59,6641611242211;-65,7535197692858;-58,8262206285162;-61,6648225790718;-69,6021480915965;-61,596727994588;-65,6300421789957;-65,9290379734515;-65,6176105764464;-58,4679900170761;-62,2875971272499;-71;-67,8233974426354;-65,8290977786787;-66,3187698065957;-66,6613676867478;-64,9935984647603;-59,6575935588177;-60,5511308551582;-54,7106639504245;-57,5225716283871
11,5;-59,214167590657;-56,0728852732556;-57,1256692003451;-58,5084461285856;-60,7964869683249;-59,8539703935648;-65,5695361983924;-58,8262206285162;-61,6648225790718;-69,6021480915965;-61,596727994588;-65,6300421789957;-65,7300760253056;-65,4145033606003;-58,7761855490312;-63,0146202901334;-71;-67,9219994060463;-65,8058444289658;-66,2911310668964;-66,5240478823671;-64,8984564088153;-59,5829800493451;-60,6120479113755;-54,9716691949321;-57,7007557995829
